Designator,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,Footprint
C5,29.9,20.45,29.9,20.45,29.9,20.45,T,0,10uF,402
C8,28.8,20.45,28.8,20.45,28.8,20.45,T,0,0.1uF,402
C11,28.3,15.1,28.3,15.1,28.3,15.1,T,270,0.1uF,402
C15,28.9,17.7,28.9,17.7,28.9,17.7,T,180,100uF,1210
C16,45,8.4,45,8.4,45,8.4,T,270,1uF,402
C38,32.02,40.07,32.02,40.07,32.02,40.07,T,270,0.1uF,402
C50,32.14,38.97,32.14,38.97,32.14,38.97,T,270,12pF,402
C51,35.03,40.07,35.03,40.07,35.03,40.07,T,90,12pF,402
C52,36.2,39.03,36.2,39.03,36.2,39.03,T,270,18pF,402
C53,38.13,39.5,38.13,39.5,38.13,39.5,T,180,18pF,402
J2,47,3.04,47,3.04,47,3.04,T,0,USB-B-Micro,USB_MICRO-B
J3,35,14.1,35,14.1,35,14.1,T,90,USB-A,USB_A_SMT
J9,7.53,72.59,7.53,72.59,7.53,72.59,T,270,SD_CARD_1140084168,SD_CARD
LED3,10.8,24.8,10.8,24.8,10.8,24.8,T,270,Green,805
R1,33.6,22.7,33.6,22.7,33.6,22.7,T,270,10K0,402
R4,45.6,10.4,45.6,10.4,45.6,10.4,T,0,15K0,402
R5,46.7,10.4,46.7,10.4,46.7,10.4,T,0,27R0,402
R6,47.7,10.4,47.7,10.4,47.7,10.4,T,0,27R0,402
R7,45,7.3,45,7.3,45,7.3,T,90,30K0,402
R12,31.6,21.2,31.6,21.2,31.6,21.2,T,270,10K0,402
R13,8.12,24.09,8.12,24.09,8.12,24.09,T,0,470R0,402
R19,36.31,42.5,36.31,42.5,36.31,42.5,T,270,2K2,402
U2,33.2,18.5,33.2,18.5,33.2,18.5,T,270,AP2151DWG-7,SOT-23-5
U4,33.3,56.7,33.3,56.7,33.3,56.7,T,90,S7G2LQFP176,LQFP176_24X24
X3,32.1,37.26,32.1,37.26,32.1,37.26,T,90,32.768KHz,SMD_X_2_PADS
X4,37.31,35.89,37.31,35.89,37.31,35.89,T,0,24MHz,SMD_3225
