Base X:,29.9,,,,,,,,,,,,,,,
Base Y:,20.45,,,,,,,,,,,,,,,
Real X,321.55,,,,,,,,,,,,,,,
Rael Y:,128.67,,,,,,,,,,,,,,,
,,,,,,,Adjusted,,,,,,,,,
Designator,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,Footprint
C5,29.9,20.45,,,0,0,321.55,128.67,,,,,T,0,10uF,402
C8,28.8,20.45,,,-1.1,0,320.45,128.67,,,,,T,0,0.1uF,402
C11,28.3,15.1,,,-1.6,-5.35,319.95,123.32,,,,,T,270,0.1uF,402
C15,28.9,17.7,,,-1,-2.75,320.55,125.92,,,,,T,180,100uF,1210
C16,45,8.4,,,15.1,-12.05,336.65,116.62,,,,,T,270,1uF,402
C38,32.02,40.07,,,2.12,19.62,323.67,148.29,,,,,T,270,0.1uF,402
C50,32.14,38.97,,,2.24,18.52,323.79,147.19,,,,,T,270,12pF,402
C51,35.03,40.07,,,5.13,19.62,326.68,148.29,,,,,T,90,12pF,402
C52,36.2,39.03,,,6.3,18.58,327.85,147.25,,,,,T,270,18pF,402
C53,38.13,39.5,,,8.23,19.05,329.78,147.72,,,,,T,180,18pF,402
J2,47,3.04,,,17.1,-17.41,338.65,111.26,,,,,T,0,USB-B-Micro,USB_MICRO-B
J3,35,14.1,,,5.1,-6.35,326.65,122.32,,,,,T,90,USB-A,USB_A_SMT
J9,7.53,72.59,,,-22.37,52.14,299.18,180.81,,,,,T,270,SD_CARD_1140084168,SD_CARD
LED3,10.8,24.8,,,-19.1,4.35,302.45,133.02,,,,,T,270,Green,805
R1,33.6,22.7,,,3.7,2.25,325.25,130.92,,,,,T,270,10K0,402
R4,45.6,10.4,,,15.7,-10.05,337.25,118.62,,,,,T,0,15K0,402
R5,46.7,10.4,,,16.8,-10.05,338.35,118.62,,,,,T,0,27R0,402
R6,47.7,10.4,,,17.8,-10.05,339.35,118.62,,,,,T,0,27R0,402
R7,45,7.3,,,15.1,-13.15,336.65,115.52,,,,,T,90,30K0,402
R12,31.6,21.2,,,1.7,0.75,323.25,129.42,,,,,T,270,10K0,402
R13,8.12,24.09,,,-21.78,3.64,299.77,132.31,,,,,T,0,470R0,402
R19,36.31,42.5,,,6.41,22.05,327.96,150.72,,,,,T,270,2K2,402
U2,33.2,18.5,,,3.3,-1.95,324.85,126.72,,,,,T,270,AP2151DWG-7,SOT-23-5
U4,33.3,56.7,,,3.4,36.25,324.95,164.92,,,,,T,90,S7G2LQFP176,LQFP176_24X24
X3,32.1,37.26,,,2.2,16.81,323.75,145.48,,,,,T,90,32.768KHz,SMD_X_2_PADS
X4,37.31,35.89,,,7.41,15.44,328.96,144.11,,,,,T,0,24MHz,SMD_3225
