"Qty","Value","Part Num","Package","Parts"
"25","0.1UF","CL05F104ZO5NNNC","0402","C4, C7, C9, C10, C12, C13, C15, C19, C20, C22, C24, C25, C26, C27, C29, C30, C33, C34, C35, C36, C38, C39, C40, C42, C43"
"2","1K0","CRG0402J1K0","0402","R14, R15"
"2","1K5","RMCF0402JT1K50","0402","R4, R6"
"3","1UF","CL05A105KO5NNNC","0402","C21, C28, C41"
"1","2.2UF","GRM155C81C225ME15D","0402","C11"
"1","2.2UH","LQM2HPN2R2MG0L","1008","L1"
"1","2K2","RMCF0402JT2K20","0402","R22"
"1","4-POS","691322310004","1X4_3.81MM_PITCH","J2"
"1","6K49","RMCF0402FT6K49","0402","R1"
"3","10-POS","PH2RA-10-UA","2X5","J3, J5, J9"
"7","10K0","RMCF0402JT10K0","0402","R2, R3, R13, R19, R20, R23, R24"
"4","10UF","CL05A106MP8NUB8","0402","C5, C6, C16, C23"
"1","10UF_TANT","TPST106K016H0800","C1210","C31"
"2","12PF","CL05C120JB5NNNC","0402","C32, C37"
"1","15K0","RMCF0402JT15K0","0402","R16"
"2","18PF","UMK105CG180JV-F","0402","C17, C18"
"2","20-pos","67996-420HLF","2_X_10_.1_INCH","J4, J10"
"2","22UF","CL05A226MQ5N6J8","0402","C8, C14"
"1","24MHZ","FA-238 24.0000MB-C3","SMD_3225","X2"
"2","24PF","CC0402GRNPO9BN240","0402","C1, C2"
"1","25MHZ","FA-238 25.0000MB-B3","SMD_3225","X1"
"2","27R0","RMCF0402JT27R0","0402","R17, R18"
"1","30K0","RC0402JR-0730KL","0402","R21"
"1","32.768KHZ","ABS07-32.768KHZ-T","SMD_X_2_PADS","X3"
"4","33R0","RMCF0402JT33R0","0402","R9, R10, R11, R12"
"1","40-POS","61304021021","HEADER_2_X_20_.1_INCH","J8"
"1","100PF","CL05C101JB5NNNC","0402","C3"
"3","470R0","RMCF0402JT470R","0402","R5, R7, R8"
"1","AP2151DWG-7","AP2151WG-7","SOT-23-5","U2"
"1","FB2_603","BLM18PG121SN1D","0603","FB1"
"6","FIDUCIAL_1MM","*","FIDUCIAL_1MM","U$1, U$2, U$3, U$4, U$5, U$6"
"1","GREEN","LG R971-KN-1","0805","LED1"
"1","KSZ8081_QFN_24","KSZ8081RNACA","QFN-24-M","U1"
"1","RJ45","13F-64GYD2PL2NL","RJ45_TH_ELEC","RJ1"
"1","S7G2LQFP176","R7FS7G27H3A01CFC#AA0","LQFP176_24X24","U3"
"1","SD_CARD","114-00841-68","SD_CARD","J1"
"1","USB-A","87583-3010RPALF","USB_A_SMT","J6"
"1","USB-B-MICRO","10118192-0002LF","USB_MICRO-B","J7"
